Kenteken,"As nummer","Aantal assen","Aangedreven as",Hefas,"Plaatscode as",Spoorbreedte,"Weggedrag code","Wettelijk toegestane maximum aslast","Technisch toegestane maximum aslast"
OR38GY,2,3,,N,A,,,9000,9000
SZ107X,1,2,,,V,146,,690,690
TB719F,1,2,,,V,167,,1280,1280
79WRSX,2,2,,N,A,,,1500,1500
TB419P,2,2,,,A,146,,800,
SK439S,2,2,,,A,141,,695,
TB353P,1,2,,,V,183,,1850,
SH960T,2,2,,,A,159,,1200,
SV306Z,1,2,,,V,148,,900,900
SZ997L,2,2,,,A,152,,870,
V621RB,1,2,,,V,151,,1120,1120
SX095Z,2,2,,,A,157,,1240,
TB883H,1,2,,,V,160,,1080,1080
TB740G,2,2,,,A,161,,1305,1305
TB823D,2,2,,,A,157,,1100,1100
TD245K,1,2,,,V,157,,1000,
TB762S,2,2,,,A,153,,760,760
TB407S,2,2,,,A,149,,860,860
SX771R,2,2,,,A,161,,1285,1285
TB642P,2,2,,,A,162,,1010,1010
OR07JT,1,3,,J,A,,,9000,9000
TD067B,2,2,,,A,149,,860,860
SJ098V,1,2,,,V,153,,950,950
TD522G,2,2,,,A,155,,855,
TB190B,2,2,,,A,153,,760,760
SZ762P,1,2,,,V,150,,860,860
SZ950J,2,2,,,A,157,,1150,1150
TD054K,1,2,,,V,154,,1140,
SL192H,1,2,,,V,161,,1125,
OR44KG,1,3,,N,A,,,9000,9000
TD811J,1,2,,,V,148,,920,
RV605R,1,2,,,V,163,,1105,
TB675Z,1,2,,,V,154,,1220,1220
OR31KK,2,3,,N,A,,,10000,10000
09WRTL,1,2,,N,A,,,1350,1350
OR67KK,3,3,,N,A,,,9000,9000
SZ383V,2,2,,,A,150,,880,880
SV464G,2,2,,,A,158,,1050,1050
TB932R,1,2,,,V,153,,1040,1040
42SVZG,2,2,,,A,142,,778,
TB032F,2,2,,,A,141,,650,650
SF973P,2,2,,,A,155,,1050,
SZ314K,2,2,,,A,153,,910,910
17WSSP,1,1,,N,A,,,1800,1800
TD681D,1,2,,,V,142,,700,700
TB005J,2,2,,,A,160,,1294,1294
SZ916N,1,2,,,V,155,,950,950
OR42JP,2,3,,N,A,,,9000,9000
18WSSR,1,2,,N,A,,,1350,1350
TB931N,1,2,,,V,154,,940,
SX309S,1,2,,,V,150,,900,900
TB794G,2,2,,,A,150,,990,990
TB068G,2,2,,,A,142,,710,710
SZ038H,1,2,,,V,159,,1140,1140
TB014Z,1,2,,,V,153,,961,961
TB286D,2,2,,,A,155,,975,975
TB911N,1,2,,,V,141,,700,
TD958J,1,2,,,V,156,,1020,
V258PT,1,2,,,V,162,,1550,1550
OR22KK,2,3,,N,A,,,9000,9000
SX582L,1,2,,,V,148,,920,920
SZ762P,2,2,,,A,148,,800,800
TD748G,2,2,,,A,157,,945,
TB768D,2,2,,,A,145,,805,805
SR108L,2,2,,,A,141,,695,
TB829D,1,2,,,V,153,,900,900
SZ655L,2,2,,,A,141,,650,650
SR024F,1,2,,,V,151,,1090,
TD338K,1,2,,,V,163,,1060,
TB406Z,2,2,,,A,150,,900,900
SZ430V,2,2,,,A,153,,930,930
TB975D,2,2,,,A,153,,930,930
V779PX,2,2,,,A,157,,1870,1870
SZ325X,1,2,,,V,163,,1160,1160
TB764D,2,2,,,A,150,,940,940
SN955V,1,2,,,V,151,,830,
V114RB,2,2,,,A,179,,2100,2100
TD514G,1,2,,,V,148,,885,
SZ965L,1,2,,,V,151,,950,
TB315X,2,2,,,A,154,,1160,
V049RD,1,2,,N,V,163,,1300,1300
ST563B,1,2,,,V,157,,1025,1025
TD886G,1,2,,,V,154,,1160,
SZ601T,2,2,,,A,144,,780,780
V757RB,2,2,,N,A,170,,2240,2240
V861NV,2,2,,,A,163,,1720,1720
SZ778T,2,2,,,A,161,,1050,1050
OR38KD,1,3,,N,A,,,9000,9000
SZ481V,1,2,,,V,158,,1180,1180
TB092F,1,2,,,V,150,,860,860
TB293T,1,2,,,V,156,,1005,1005
TB648J,2,2,,,A,155,,930,930
TB038Z,2,2,,,A,151,,893,893
TB551G,1,2,,,V,153,,950,950
TB741R,1,2,,,V,157,,1220,1220
TB135N,2,2,,,A,156,,1215,1215
TD780G,1,2,,,V,149,,850,
SX010T,2,2,,,A,151,,860,
TB680F,1,2,,,V,155,,1070,1070
SZ064L,2,2,,,A,146,,800,800
TB011Z,1,2,,,V,153,,961,961
SX887F,1,2,,,V,146,,895,895
SB867V,2,2,,,A,146,,825,
SZ705G,1,2,,,V,150,,860,860
TB807B,2,2,,,A,151,,893,893
45BLB9,1,3,N,N,V,,,8000,8000
TD958G,1,2,,,V,156,,975,
SN886P,2,2,,,A,142,,640,640
SZ971G,2,2,,,A,154,,1155,1155
SR362N,1,2,,,V,155,,920,920
15BLD2,2,3,J,N,A,,G,11500,11500
SZ750H,2,2,,,A,158,,955,955
SZ151G,2,2,,,A,158,,1055,1055
SX707J,1,2,,,V,154,,1040,1040
SZ402S,1,2,,,V,153,,1100,
SZ829H,2,2,,,A,149,,1275,
SZ694G,2,2,,,A,153,,1190,1190
VP983S,1,2,J,N,V,154,,1075,
TB749S,1,2,,,V,142,,700,700
SG690B,2,2,,,A,149,,860,860
